stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
AMI:SP:PINSO2,,Pinsonnat,,2.273787,49.88937,,,0,AMI:SA:place_PINS,,,0,
AMI:SP:PJUSTIN,,Palais de Justice,,2.301398,49.893224,,,0,AMI:SA:place_PJUS,,,0,
AMI:SP:PJVERN2,,Pôle Jules Verne,,2.382896,49.862138,,,0,AMI:SA:place_PJVE,,,0,
AMI:SP:PLICON1,,Pôle Licorne,,2.267174,49.898094,,,0,AMI:SA:place_PLIC,,,0,
AMI:SP:PMANY1,,Le Petit Many,,2.31035,49.837847,,,0,AMI:SA:place_PMAN,,,0,
AMI:SP:PMANY2,,Le Petit Many,,2.310433,49.837811,,,0,AMI:SA:place_PMAN,,,0,
AMI:SP:PMARCHN,,Place du Marché,,2.293646,49.895766,,,0,AMI:SA:place_PMAR,,,0,
AMI:SP:PNORDN1,,Pôle d'Echanges Nord quai B,,2.303192,49.911828,,,0,AMI:SA:place_PNO,,,0,
AMI:SP:PNORDN2,,Pôle d'Echanges Nord quai A,,2.303261,49.911891,,,0,AMI:SA:place_PNO,,,0,
AMI:SP:PNORDN3,,Pôle d'Echanges Nord quai C,,2.302455,49.912196,,,0,AMI:SA:place_PNO,,,0,
AMI:SP:PNORDN4,,Pôle d'Echanges Nord quai D,,2.302691,49.912277,,,0,AMI:SA:place_PNO,,,0,
AMI:SP:POIDEN1,,Poidevin,,2.354328,49.871635,,,0,AMI:SA:place_POID,,,0,
AMI:SP:POIDEN2,,Poidevin,,2.354703,49.871617,,,0,AMI:SA:place_POID,,,0,
AMI:SP:POMME1,,La Pommeraie,,2.318894,49.820599,,,0,AMI:SA:place_POMM,,,0,
AMI:SP:POMME2,,La Pommeraie,,2.318894,49.820743,,,0,AMI:SA:place_POMM,,,0,
AMI:SP:POMPI2,,Pompiers,,2.331822,49.880247,,,0,AMI:SA:place_POMP,,,0,
AMI:SP:POMPI3,,Pompiers,,2.331794,49.880058,,,0,AMI:SA:place_POMP,,,0,
AMI:SP:PROCT1,,Procter et Gamble,,2.27067,49.934825,,,0,AMI:SA:place_PROC,,,0,
AMI:SP:PROCT2,,Procter et Gamble,,2.270573,49.934942,,,0,AMI:SA:place_PROC,,,0,
AMI:SP:PROV1,,Les Provinciales,,2.321861,49.875766,,,0,AMI:SA:place_BLPA,,,0,
AMI:SP:PROV2,,Les Provinciales,,2.321764,49.87573,,,0,AMI:SA:place_BLPA,,,0,
AMI:SP:PVICT1,,Place de la Victoire,,2.355104,49.866921,,,0,AMI:SA:place_PVIC,,,0,
AMI:SP:PVICT2,,Place de la Victoire,,2.355507,49.867056,,,0,AMI:SA:place_PVIC,,,0,
AMI:SP:PVOGEN3,,Vogel quai C,,2.295932,49.897685,,,0,AMI:SA:place_VOG,,,0,
AMI:SP:PVOGEN5,,Vogel quai E,,2.295001,49.89755,,,0,AMI:SA:place_VOG,,,0,
AMI:SP:PVOGEN6,,Vogel quai D,,2.295265,49.897568,,,0,AMI:SA:place_VOG,,,0,
AMI:SP:QTOUR1,,Quentin la Tour,,2.299461,49.923399,,,0,AMI:SA:place_QTOU,,,0,
AMI:SP:QTOUR2,,Quentin la Tour,,2.298937,49.92328,,,0,AMI:SA:place_QTOU,,,0,
AMI:SP:QUALEN1,,Quatre Lemaire,,2.274907,49.883059,,,0,AMI:SA:place_QLEM,,,0,
AMI:SP:QUALEN2,,Quatre Lemaire,,2.275018,49.883158,,,0,AMI:SA:place_QLEM,,,0,
AMI:SP:QUENE1,,Queneuder,,2.278548,49.930807,,,0,AMI:SA:place_QUNE,,,0,
AMI:SP:QUENE2,,Queneuder,,2.278756,49.930601,,,0,AMI:SA:place_QUNE,,,0,
AMI:SP:RAINE1,,Rainneville,,2.312227,49.914856,,,0,AMI:SA:place_RAIN,,,0,
