object_id,object_system,object_code
AMI:SP:LMICH1,source,LMICH1
AMI:SP:LMICH2,amiens_rt,430
AMI:SP:LMICH2,source,LMICH2
AMI:SP:LOCKEN1,amiens_rt,1128
AMI:SP:LOCKEN1,source,LOCKEN1
AMI:SP:LOCKEN2,amiens_rt,1129
AMI:SP:LOCKEN2,source,LOCKEN2
AMI:SP:LOGAREN,amiens_rt,431
AMI:SP:LOGAREN,source,LOGAREN
AMI:SP:LUZARN1,amiens_rt,1066
AMI:SP:LUZARN1,source,LUZARN1
AMI:SP:LUZARN2,amiens_rt,1067
AMI:SP:LUZARN2,source,LUZARN2
AMI:SP:MADEL1,amiens_rt,440
AMI:SP:MADEL1,source,MADEL1
AMI:SP:MADEL2,amiens_rt,441
AMI:SP:MADEL2,source,MADEL2
AMI:SP:MAIGU,amiens_rt,945
AMI:SP:MARIV1,amiens_rt,446
AMI:SP:MARIV1,source,MARIV1
AMI:SP:MARIV2,amiens_rt,447
AMI:SP:MARIV2,source,MARIV2
AMI:SP:MBARB1,amiens_rt,452
AMI:SP:MBARB1,source,MBARB1
AMI:SP:MBARB2,amiens_rt,453
AMI:SP:MBARB2,source,MBARB2
AMI:SP:MBOVE1,amiens_rt,454
AMI:SP:MBOVE1,source,MBOVE1
AMI:SP:MBOVE2,amiens_rt,455
AMI:SP:MBOVE2,source,MBOVE2
AMI:SP:MCAMO1,amiens_rt,456
AMI:SP:MCAMO1,source,MCAMO1
AMI:SP:MILLEP1,amiens_rt,465
AMI:SP:MILLEP2,amiens_rt,466
AMI:SP:MLONGN1,amiens_rt,1071
AMI:SP:MLONGN1,source,MLONGN1
AMI:SP:MLONGN2,amiens_rt,1072
AMI:SP:MLONGN2,source,MLONGN2
AMI:SP:MONSN1,amiens_rt,469
AMI:SP:MONSN1,source,MONSN1
AMI:SP:MONSN2,amiens_rt,470
AMI:SP:MONSN2,source,MONSN2
AMI:SP:MOUTIER1,amiens_rt,2089
AMI:SP:MOUTIER1,source,MOUTIER1
AMI:SP:MOUTIER2,amiens_rt,2090
AMI:SP:MOUTIER2,source,MOUTIER2
AMI:SP:MPOULA,amiens_rt,477
AMI:SP:MPOULA,source,MPOULA
AMI:SP:MSALE1,amiens_rt,482
AMI:SP:MSALE1,source,MSALE1
AMI:SP:MSALE2,amiens_rt,483
AMI:SP:MSALE2,source,MSALE2
AMI:SP:MSALO1,amiens_rt,484
AMI:SP:MSALO1,source,MSALO1
AMI:SP:MSALO2,amiens_rt,485
AMI:SP:MSALO2,source,MSALO2
AMI:SP:MVERS1,amiens_rt,491
AMI:SP:MVERS1,source,MVERS1
AMI:SP:MVERS2,amiens_rt,492
AMI:SP:MVERS2,source,MVERS2
AMI:SP:NAUGA1,amiens_rt,493
AMI:SP:NAUGA1,source,NAUGA1
AMI:SP:NAUGA2,amiens_rt,494
AMI:SP:NAUGA2,source,NAUGA2
AMI:SP:OMERDE,amiens_rt,497
AMI:SP:OMERDE,source,OMERDE
AMI:SP:ORMAIN1,amiens_rt,498
AMI:SP:ORMAIN1,source,ORMAIN1
AMI:SP:ORMAIN2,amiens_rt,499
AMI:SP:ORMAIN2,source,ORMAIN2
AMI:SP:PAGES1,amiens_rt,503
AMI:SP:PAGES1,source,PAGES1
AMI:SP:PAGES2,amiens_rt,504
AMI:SP:PAGES2,source,PAGES2
AMI:SP:PARACL,amiens_rt,507
