object_type,object_id,object_system,object_code
stop_point,AMI:SP:BLTAC1,amiens_rt,78
stop_point,AMI:SP:BLTAC1,source,BLTAC1
stop_point,AMI:SP:BLTAC2,amiens_rt,79
stop_point,AMI:SP:BLTAC2,source,BLTAC2
stop_point,AMI:SP:BRANLN1,amiens_rt,89
stop_point,AMI:SP:BRANLN1,source,BRANLN1
stop_point,AMI:SP:BRANLN2,amiens_rt,90
stop_point,AMI:SP:BRANLN2,source,BRANLN2
stop_point,AMI:SP:CAGRI1,amiens_rt,95
stop_point,AMI:SP:CAGRI1,source,CAGRI1
stop_point,AMI:SP:CAGRI2,amiens_rt,96
stop_point,AMI:SP:CAGRI2,source,CAGRI2
stop_point,AMI:SP:CAMIRO,amiens_rt,963
stop_point,AMI:SP:CAMPI1,amiens_rt,100
stop_point,AMI:SP:CAMPI1,source,CAMPI1
stop_point,AMI:SP:CAMPI2,amiens_rt,101
stop_point,AMI:SP:CAMPI2,source,CAMPI2
stop_point,AMI:SP:CARME1,amiens_rt,109
stop_point,AMI:SP:CARME1,source,CARME1
stop_point,AMI:SP:CARME2,amiens_rt,110
stop_point,AMI:SP:CARME2,source,CARME2
stop_point,AMI:SP:CASDEN1,amiens_rt,992
stop_point,AMI:SP:CASDEN1,source,CASDEN1
stop_point,AMI:SP:CASDEN2,amiens_rt,993
stop_point,AMI:SP:CASDEN2,source,CASDEN2
stop_point,AMI:SP:CCGLIN1,amiens_rt,994
stop_point,AMI:SP:CCGLIN1,source,CCGLIN1
stop_point,AMI:SP:CCNOR2,amiens_rt,122
stop_point,AMI:SP:CCNOR2,source,CCNOR2
stop_point,AMI:SP:CCNOR5,amiens_rt,935
stop_point,AMI:SP:CCNOR5,source,CCNOR5
stop_point,AMI:SP:CCNORN6,amiens_rt,996
stop_point,AMI:SP:CCNORN6,source,CCNORN6
stop_point,AMI:SP:CCNORN7,amiens_rt,997
stop_point,AMI:SP:CCNORN7,source,CCNORN7
stop_point,AMI:SP:CCSUDN1,amiens_rt,998
stop_point,AMI:SP:CCSUDN1,source,CCSUDN1
stop_point,AMI:SP:CCSUDN4,amiens_rt,126
stop_point,AMI:SP:CCSUDN4,source,CCSUDN4
stop_point,AMI:SP:CEGLIS,amiens_rt,127
stop_point,AMI:SP:CEGLIS,source,CEGLIS
stop_point,AMI:SP:CHARAN3,amiens_rt,80
stop_point,AMI:SP:CHARAN3,source,CHARAN3
stop_point,AMI:SP:CHARAN4,amiens_rt,81
stop_point,AMI:SP:CHARAN4,source,CHARAN4
stop_point,AMI:SP:CHAUSS,amiens_rt,150
stop_point,AMI:SP:CHAUSS,source,CHAUSS
stop_point,AMI:SP:CHPARI,amiens_rt,155
stop_point,AMI:SP:CHPARI,source,CHPARI
stop_point,AMI:SP:CIMACN1,amiens_rt,160
stop_point,AMI:SP:CIMACN1,source,CIMACN1
