trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
15-L-2-6-215901,L,15_DIMANCHE,POLE ECHANGES NORD,,1,,,,,
15-L-1-6-220800,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-5-053701,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-054601,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-5-5-060201,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-061100,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-2-5-063601,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-1-5-063700,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-065901,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-3-5-070500,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-072901,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-073300,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-075600,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-075700,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-082700,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-1-5-082800,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-085700,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-085800,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-092700,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-092800,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-095400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-095700,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-1-5-102600,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-5-102700,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-5-5-105600,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-105800,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-112600,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-112700,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-115600,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-5-5-115600,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-5-122600,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-1-5-122600,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-125600,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-125900,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-132600,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-132900,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-135900,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-140100,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-1-5-142900,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-5-143100,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-5-5-150000,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-150600,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-153000,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-153400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-160500,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-5-5-160500,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-163400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-5-163800,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-6-5-170401,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-170800,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-173400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-1-5-173800,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-180400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-6-5-180900,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-5-5-183400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-3-5-183900,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-2-5-191001,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-6-5-191300,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-194201,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-194400,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-5-201300,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-6-5-202401,L,15_SAMEDI,C. CIAL. NORD,,1,,,,,
15-L-3-5-205501,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-5-5-210200,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-5-212501,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-6-5-212700,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-5-5-220001,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-2-5-222800,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-4-5-230100,L,15_SAMEDI,POLE ECHANGES NORD,,1,,,,,
15-L-5-5-230800,L,15_SAMEDI,CHU A. PICARDIE,,0,,,,,
15-L-2-B-040701,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
15-L-10-B-041801,L,15_SEMAINE,POLE ECHANGES NORD,,1,,,,,
15-L-4-B-045701,L,15_SEMAINE,CHU A. PICARDIE,,0,,,,,
