stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
224,224,Centre de Tri,49.890244,2.322331,0
1027,1027,C. Saint-Victor,49.906334,2.3181,0
1028,1028,C. Saint-Victor,49.90591,2.317433,0
229,229,Croix Rompue,49.870831,2.308208,0
230,230,Croix Rompue,49.870842,2.3095,0
923,923,Debouverie,49.8792,2.283514,0
44,44,Debouverie,49.879326,2.283388,0
231,231,D. Casanova,49.89019,2.347874,0
232,232,D. Casanova,49.890388,2.348082,0
233,233,D. Cordonnier,49.902939,2.318115,0
234,234,D. Cordonnier,49.90284,2.31888,0
237,237,Debussy,49.948765,2.317346,0
238,238,Debussy,49.949032,2.317152,0
239,239,Dejean,49.891205,2.315979,0
240,240,Dejean,49.891079,2.317355,0
1029,1029,Delpech Quai A,49.880737,2.292752,0
1030,1030,Delpech Quai B,49.880836,2.292807,0
245,245,Desmoulins,49.881962,2.293557,0
246,246,Desmoulins,49.881916,2.293557,0
247,247,Donjon,49.945793,2.313104,0
248,248,Saint-Dié,49.903408,2.32918,0
249,249,Saint-Dié,49.903282,2.3295,0
251,251,Doullens,49.904652,2.310371,0
252,252,Doullens,49.904644,2.310649,0
253,253,Dreuil,49.913937,2.228335,0
254,254,Dreuil,49.91399,2.226847,0
256,256,Duchellier,49.913799,2.23487,0
257,257,Duchellier,49.913692,2.235398,0
258,258,Jacques Duclos,49.906441,2.316793,0
259,259,Jacques Duclos,49.906559,2.317558,0
260,260,Durouchez,49.929523,2.280998,0
261,261,Durouchez,49.928761,2.282293,0
897,897,Dury,49.846169,2.269469,0
265,265,M. de P.de Metz,49.880928,2.243273,0
266,266,M. de P.de Metz,49.882221,2.243965,0
801,801,Edouard Branly,49.898182,2.351281,0
884,884,Edouard Branly,49.89822,2.35085,0
267,267,Ernest Cauvin,49.863354,2.239861,0
268,268,Ernest Cauvin,49.863182,2.239833,0
269,269,E. St-Maurice,49.90303,2.291148,0
270,270,E. St-Maurice,49.903236,2.290466,0
272,272,Edmond Marquis,49.887051,2.345274,0
973,973,Egl. St-Acheul,49.883377,2.324959,0
974,974,Egl. St-Acheul,49.883934,2.323597,0
276,276,Edmond Rostand,49.874733,2.328295,0
277,277,Edmond Rostand,49.875191,2.329226,0
1031,1031,Egl. St-Firmin,49.902641,2.277637,0
1032,1032,Egl. St-Firmin,49.902721,2.277498,0
280,280,E.Petit St-Jean,49.887699,2.263355,0
281,281,E.Petit St-Jean,49.887691,2.263494,0
282,282,Egl. St-Pierre,49.903549,2.30666,0
283,283,Egl. St-Pierre,49.90345,2.306466,0
284,284,Egl. Renancourt,49.89444,2.259634,0
285,285,Egl. Renancourt,49.89426,2.258953,0
286,286,Egl. Saint-Leu,49.898483,2.300701,0
2081,2081,Egl. St-Martin,49.88488,2.300044,0
287,287,Elbeuf,49.885887,2.265914,0
288,288,Elbeuf,49.885925,2.266067,0
1033,1033,Eloi Morel,49.902653,2.315029,0
1034,1034,Eloi Morel,49.902893,2.315585,0
907,907,Albatros,49.864906,2.394137,0
908,908,Albatros,49.865192,2.392957,0
1035,1035,Etouvie Quai A,49.913841,2.245923,0
292,292,Etouvie Quai B,49.914021,2.245867,0
293,293,Etoile du Sud,49.862854,2.383162,0
294,294,Etoile du Sud,49.863007,2.383009,0
297,297,Saint-Exupéry,49.877323,2.305634,0
298,298,Saint-Exupery,49.877674,2.305578,0
300,300,La Falaise,49.907059,2.285236,0
301,301,La Falaise,49.906647,2.285584,0
306,306,Fénelon,49.91383,2.32281,0
307,307,Fénelon,49.914146,2.322059,0
1037,1037,Faubourg de Hem,49.904343,2.274451,0
1038,1038,Faubourg de Hem,49.904514,2.274354,0
310,310,Flori. Jourdain,49.901291,2.329041,0
311,311,Flori. Jourdain,49.901207,2.328847,0
312,312,Fernand Léger,49.919041,2.298934,0
313,313,Fernand Léger,49.919079,2.299003,0
314,314,F. Mistral,49.869381,2.323448,0
315,315,F. Mistral,49.869522,2.322628,0
1039,1039,La Fontaine,49.911926,2.254241,0
1040,1040,La Fontaine,49.911953,2.254407,0
318,318,Forceville,49.884499,2.283466,0
319,319,Forceville,49.884838,2.284202,0
320,320,Fosse au Lait,49.885757,2.287787,0
321,321,Fosse au Lait,49.8857,2.287689,0
322,322,De Fouilloy,49.883877,2.30413,0
323,323,De Fouilloy,49.884109,2.304074,0
1041,1041,La Fourche,49.868992,2.36115,0
1042,1042,La Fourche,49.869377,2.36033,0
326,326,Francfort,49.895168,2.261273,0
327,327,Francfort,49.895504,2.261703,0
123,123,Promenade,49.922268,2.305968,0
124,124,Promenade,49.922169,2.307039,0
1122,1122,Friant,49.889946,2.277985,0
328,328,Saint-Fuscien,49.836578,2.313573,0
329,329,Saint-Fuscien,49.837143,2.314419,0
335,335,Gare du Nord E,49.891743,2.306987,0
336,336,Gare du Nord F,49.891994,2.307279,0
1045,1045,Gare du Nord A,49.890537,2.306668,0
1046,1046,Gare du Nord B,49.890377,2.307141,0
128,128,Gare du Nord C,49.891167,2.306835,0
1130,1130,Gare du Nord C,49.891068,2.306737,0
1047,1047,Gare du Nord D,49.890217,2.305862,0
337,337,Gare Routière,49.891636,2.309975,0
338,338,Gare Routière,49.891689,2.310128,0
1048,1048,G. Beauvais,49.873814,2.289618,0
1049,1049,G. Beauvais,49.873886,2.289215,0
343,343,Gendarmerie,49.888218,2.270594,0
344,344,Gendarmerie,49.888523,2.271636,0
345,345,Gérard Philipe,49.870373,2.361525,0
346,346,Gérard Philipe,49.870331,2.361803,0
349,349,Général Leclerc,49.846874,2.396186,0
350,350,Général Leclerc,49.846821,2.396047,0
351,351,Glisy,49.875183,2.397858,0
352,352,Glisy,49.87521,2.397886,0
354,354,La Tourelle,49.895741,2.33973,0
355,355,La Tourelle,49.89584,2.339577,0
799,799,Goodyear,49.935143,2.283746,0
800,800,Goodyear,49.935097,2.28351,0
358,358,Görlitz Quai C,49.871346,2.318947,0
802,802,Görlitz Quai D,49.871391,2.319072,0
359,359,Görlitz Quai B,49.871948,2.31953,0
360,360,Görlitz Quai A,49.871796,2.319627,0
361,361,Rue de Grâce,49.911541,2.251405,0
362,362,Rue de Grâce,49.911575,2.251919,0
1050,1050,Grèce,49.868397,2.282497,0
1051,1051,Grèce,49.868382,2.282608,0
